phase,window_s,mode,method,cluster_id,n_members,n_cheaters,cheater_rate,fisher_p,latency_median,is_high_risk,member_ids
T3_pre,5,pooled,hdbscan,3,8,4,0.5,1.0,26.546999999999997,False,39;110;328;350;354;355;415;463
T3_pre,5,pooled,kmeans_k2,0,55,24,0.43636363636363634,0.256684684406106,11.216499999999996,False,4;6;30;39;40;61;73;76;90;91;93;96;103;110;150;165;166;198;210;212;215;223;230;234;237;248;250;251;253;278;310;321;328;340;350;354;355;362;370;373;375;377;378;381;388;401;403;405;415;432;444;463;464;468;86
T3_pre,5,pooled,kmeans_k2,1,57,32,0.5614035087719298,0.256684684406106,14.067000000000007,False,8;69;112;158;160;176;183;189;190;206;214;221;224;227;229;232;235;240;241;256;259;265;273;275;284;286;288;307;313;320;322;323;325;329;334;343;348;357;361;380;384;393;396;398;402;408;411;416;421;427;431;440;442;445;469;471;14
T3_pre,10,pooled,hdbscan,-1,55,28,0.509090909090909,0.7870266149596514,16.700500000000005,False,4;39;61;90;110;112;158;165;189;206;212;214;215;221;223;224;227;230;235;248;251;259;273;278;286;307;313;320;322;323;329;340;343;355;361;362;370;373;375;384;393;402;405;408;411;416;421;431;432;440;444;445;463;468;469
T3_pre,10,pooled,hdbscan,0,5,3,0.6,0.6741017876167068,5.299999999999997,False,210;275;288;415;427
T3_pre,10,pooled,hdbscan,1,13,5,0.38461538461538464,0.5426029012384245,10.349999999999994,False,6;183;240;241;250;284;310;328;354;357;442;464;471
T3_pre,10,pooled,kmeans_k4,0,23,11,0.4782608695652174,1.0,18.0,False,6;110;112;189;210;214;215;227;241;250;259;320;328;329;354;355;357;361;362;370;393;463;471
T3_pre,10,pooled,kmeans_k4,1,16,8,0.5,1.0,14.783500000000004,False,4;39;90;206;273;278;286;313;323;408;421;431;432;440;445;468
T3_pre,10,pooled,kmeans_k4,2,11,4,0.36363636363636365,0.5151150948224645,11.875,False,212;223;230;248;307;340;343;375;384;405;469
T3_pre,10,pooled,kmeans_k4,3,23,13,0.5652173913043478,0.4567187951729559,13.550000000000011,False,61;158;165;183;221;224;235;240;251;275;284;288;310;322;373;402;411;415;416;427;442;444;464
T4_post,2,pooled,hdbscan,-1,27,14,0.5185185185185185,1.0,16.616500000000002,False,103;176;183;189;206;221;234;235;237;241;250;265;275;286;288;307;308;309;310;321;325;361;381;384;401;408;469
T4_post,2,pooled,hdbscan,0,28,13,0.4642857142857143,0.6666625897703156,11.299999999999985,False,30;40;69;76;93;96;112;160;165;166;198;214;229;232;251;284;348;357;375;377;388;391;398;405;431;442;444;463
T4_post,2,pooled,hdbscan,1,61,32,0.5245901639344263,0.852582391798471,12.35499999999999,False,4;6;8;39;61;73;90;91;110;150;158;190;210;212;215;223;224;227;230;240;248;253;256;259;273;278;313;320;322;323;328;329;334;340;343;350;354;355;362;370;373;378;380;393;396;402;403;411;413;415;416;421;427;432;440;445;464;468;471;14;86
T4_post,2,pooled,kmeans_k3,0,39,17,0.4358974358974359,0.32670987729598755,11.299999999999985,False,30;40;69;76;93;96;103;112;160;165;166;198;206;212;214;229;232;250;251;284;288;321;325;348;354;357;375;377;388;391;393;398;405;408;431;442;444;463;469
T4_post,2,pooled,kmeans_k3,1,38,21,0.5526315789473685,0.556464322048054,16.866500000000002,False,4;6;39;91;150;158;183;190;210;223;227;234;235;241;253;259;275;278;307;308;309;322;334;343;355;361;373;378;380;401;403;415;416;432;440;468;471;86
T4_post,2,pooled,kmeans_k3,2,39,21,0.5384615384615384,0.697043435641949,11.849999999999994,False,8;61;73;90;110;176;189;215;221;224;230;237;240;248;256;265;273;286;310;313;320;323;328;329;340;350;362;370;381;384;396;402;411;413;421;427;445;464;14
T4_post,5,pooled,hdbscan,-1,53,30,0.5660377358490566,0.27019350363496714,15.834000000000003,False,6;8;39;40;61;91;93;110;198;212;227;229;232;234;240;241;250;251;288;307;308;309;320;321;322;323;325;334;340;343;350;354;355;357;361;370;375;377;378;380;381;402;411;413;416;421;427;440;442;445;469;471;14
